Gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,Marker
KKIIADKH_01424_gene,1474.591705,-0.315941953,0.094746134,-3.33461577,0.000854173,0.001755134,0
KKIIADKH_01425_gene,479.6268593,-0.772577283,0.122876965,-6.287405302,3.23E-10,1.32E-09,0
KKIIADKH_01426_gene,1711.748608,-0.658164804,0.089799346,-7.329282782,2.31E-13,1.22E-12,0
KKIIADKH_01427_gene,561.4580043,1.135203749,0.191466014,5.929009149,3.05E-09,1.15E-08,0
KKIIADKH_01428_gene,1701.537413,0.069054979,0.099752135,0.692265674,0.488770502,0.559304846,0
KKIIADKH_01429_gene,208.55999,0.330322223,0.211007548,1.56545217,0.117476924,0.160576904,0
KKIIADKH_01430_gene,2516.348494,0.299020301,0.08631952,3.464109869,0.000531989,0.001123899,0
KKIIADKH_01431_gene,1202.277178,-0.151517076,0.116870342,-1.296454463,0.194818959,0.25245362,0
KKIIADKH_00143_gene,278.0271739,-0.999135431,0.149672567,-6.675474686,2.46E-11,1.11E-10,0
KKIIADKH_01432_gene,1028.353132,-0.469579811,0.120953001,-3.882332879,0.000103459,0.00024102,0
KKIIADKH_01433_gene,817.8270421,-0.467788003,0.106272855,-4.401763763,1.07E-05,2.82E-05,0
KKIIADKH_01434_gene,1573.523274,-0.583974692,0.099648349,-5.860354914,4.62E-09,1.71E-08,0
KKIIADKH_01435_gene,618.2062792,-0.14962309,0.108292914,-1.381651714,0.167078667,0.220349257,0
KKIIADKH_01436_gene,764.0957589,-0.345894781,0.142257234,-2.431474104,0.015037523,0.025360111,0
KKIIADKH_01437_gene,1014.743922,-0.204866993,0.09590312,-2.136186944,0.032664179,0.051137179,0
KKIIADKH_01438_gene,552.9298632,-0.662078154,0.134386074,-4.926687212,8.36E-07,2.51E-06,0
KKIIADKH_01439_gene,257.5737504,-0.379687727,0.154549594,-2.456737139,0.014020523,0.023772324,0
KKIIADKH_01440_gene,972.703752,-0.309291798,0.101521485,-3.046564946,0.002314725,0.004447068,0
KKIIADKH_01441_gene,2555.746564,-0.749057896,0.087005082,-8.609358009,7.35E-18,5.35E-17,0
KKIIADKH_00144_gene,269.347059,-0.613970559,0.17101993,-3.59005268,0.000330611,0.000719233,0
KKIIADKH_01442_gene,373.6714487,1.26116717,0.157666327,7.998963321,1.25E-15,7.87E-15,0
KKIIADKH_01443_gene,659.5004749,0.252650089,0.106838594,2.364782989,0.018040639,0.030001085,0
KKIIADKH_01444_gene,2974.443158,0.457137781,0.102505866,4.459625549,8.21E-06,2.18E-05,0
