Gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,Marker
EEDFELNL_01323_gene,2570.158876,0.353052976,0.20388946,1.731590127,0.083346565,0.298152969,0
EEDFELNL_01324_gene,1759.086849,0.706896806,0.244685896,2.888996942,0.003864728,0.045246584,0
EEDFELNL_01325_gene,2176.337374,0.00324351,0.239286413,0.013554926,0.989185065,0.995614936,0
EEDFELNL_01326_gene,333.7300713,0.053556044,0.242738014,0.220633115,0.825378115,0.927800317,0
EEDFELNL_01327_gene,4553.251009,-0.374577555,0.275322969,-1.360502383,0.173670999,0.433448852,0
EEDFELNL_00138_gene,2163.044195,-4.241790293,1.263816809,-3.356333184,0.000789834,0.013731325,0
EEDFELNL_01328_gene,661.0700119,-0.586488783,0.274859509,-2.133776576,0.032861074,0.183457198,0
EEDFELNL_01329_gene,120.4488216,-0.145586607,0.370590449,-0.392850404,0.694429974,0.862331101,0
EEDFELNL_01330_gene,497.9439036,-0.635265215,0.438317015,-1.44932821,0.147245947,0.399425787,0
EEDFELNL_01332_gene,508.3692882,-1.093742222,0.582123544,-1.878883327,0.060260426,0.257340714,0
EEDFELNL_01333_gene,2058.388194,0.142742909,0.284532155,0.501675845,0.615895558,0.813933299,0
EEDFELNL_01334_gene,1729.655403,0.245957463,0.234478941,1.048953321,0.294199603,0.568616818,0
EEDFELNL_01335_gene,8.653419037,-1.247980133,1.02182784,-1.221321327,0.221964382,NA,0
EEDFELNL_01336_gene,53.4590441,-1.5961395,0.984390864,-1.621448917,NA,NA,0
EEDFELNL_01337_gene,21.23749835,-0.688713772,0.934914771,-0.736659419,0.461329491,NA,0
EEDFELNL_01338_gene,349.5968393,-0.419835749,0.403804857,-1.039699602,0.298479486,0.57146969,0
EEDFELNL_00139_gene,6199.066641,-5.247286346,1.348239939,-3.891952904,9.94E-05,0.002822098,0
EEDFELNL_01339_gene,54.88237285,-0.883373027,0.345492805,-2.55684927,0.010562497,0.091256722,0
EEDFELNL_01340_gene,515.3629584,0.162375154,0.230451532,0.704595682,0.481061886,0.717578901,0
EEDFELNL_01341_gene,363.7833785,-0.475818989,0.273707122,-1.738423848,0.082136158,0.296775609,0
EEDFELNL_01342_gene,514.2543152,-0.186087359,0.564166752,-0.329844604,0.741517383,0.883794672,0
EEDFELNL_01343_gene,173.4904809,0.663314702,0.257239139,2.578591674,0.009920397,0.08808527,0
EEDFELNL_01344_gene,778.5786825,0.182521422,0.329931764,0.553209608,0.580119889,0.79422942,0
EEDFELNL_01345_gene,10.46174311,0.508625296,0.689007631,0.738199801,0.460393044,NA,0
EEDFELNL_01347_gene,3939.148235,0.428241574,0.28446979,1.505402643,0.13222059,0.382254755,0
EEDFELNL_01348_gene,46.6813171,0.054021725,0.51640657,0.104610841,0.916684612,0.970581771,0
EEDFELNL_01349_gene,131.5634925,0.890927159,0.342796925,2.59899402,0.00934974,0.085039016,0
EEDFELNL_00140_gene,719.8553748,-3.779456312,0.930146338,-4.063292147,4.84E-05,0.001538725,0
EEDFELNL_01350_gene,863.5712275,0.187563016,0.389697652,0.481303942,0.630300496,0.824287451,0
EEDFELNL_01351_gene,55.71356826,0.004088887,0.438694598,0.009320578,0.992563363,0.996563842,0
EEDFELNL_01352_gene,82.73895944,0.032462706,0.291990124,0.11117741,0.911475664,0.96964576,0
EEDFELNL_01353_gene,0.499085682,-1.162735075,2.663006387,-0.436624967,0.662383353,NA,0
EEDFELNL_01354_gene,76.97845502,-0.680970584,0.349666323,-1.947486901,0.051476389,0.236012399,0
EEDFELNL_01355_gene,338.3063248,-0.84053366,0.256385724,-3.278394937,0.001043992,0.016718789,0
EEDFELNL_01356_gene,78.9645451,-0.20059085,0.31700134,-0.632776031,0.526879912,0.752065113,0
EEDFELNL_01357_gene,377.4956287,-0.224984959,0.225229358,-0.998914885,0.317835925,0.587217259,0
EEDFELNL_01358_gene,2452.98084,-0.54576433,0.253908413,-2.149453512,0.031598467,0.179124561,0
EEDFELNL_01359_gene,1503.984195,-0.569593612,0.308080819,-1.848844774,0.06448023,0.265217395,0
EEDFELNL_00141_gene,739.4642644,-3.154937153,0.906857709,-3.478977046,0.000503332,0.00981278,0
EEDFELNL_01360_gene,328.2507234,-0.399551991,0.31996263,-1.2487458,0.211758063,0.479073237,0
EEDFELNL_01361_gene,1116.492336,0.391097786,0.28079392,1.392828541,0.163671646,0.421024176,0
EEDFELNL_01362_gene,1760.606631,-0.033452431,0.207384346,-0.161306443,0.871852049,0.947318349,0
