Gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,Marker
MKLGIIOE_00001_gene,5.025881728,0.133086605,0.811948893,0.163910077,0.869801934,NA,0
MKLGIIOE_00010_gene,5.527547515,0.171900586,0.761505299,0.225737872,0.8214053,0.908723779,0
MKLGIIOE_00100_gene,71.47669759,-0.162534825,0.279285779,-0.581965988,0.560589591,0.7341361,0
MKLGIIOE_01011_gene,36.17151919,0.333962456,0.386453718,0.864171932,0.387493449,0.592861508,0
MKLGIIOE_01013_gene,410.6913841,0.126448509,0.167057982,0.756913903,0.449101446,0.649335339,0
MKLGIIOE_01014_gene,1639.613025,0.119330327,0.14863013,0.802867674,0.422051222,0.623051141,0
MKLGIIOE_01015_gene,4235.392294,0.147155567,0.1473841,0.998449409,0.318061485,0.528590351,0
MKLGIIOE_01016_gene,1595.228666,-0.026352197,0.132377419,-0.199068671,0.842209028,0.920879865,0
MKLGIIOE_01017_gene,1033.698513,0.046135054,0.155779227,0.296156651,0.767110452,0.876331392,0
MKLGIIOE_01018_gene,331.795657,0.17466295,0.18546596,0.94175206,0.346319595,0.555205027,0
MKLGIIOE_01019_gene,256.6260631,0.195712247,0.16746907,1.168647125,0.242545833,0.445383219,0
MKLGIIOE_01020_gene,185.4016042,-0.070729845,0.185983016,-0.380302712,0.703720722,0.832673931,0
MKLGIIOE_01021_gene,296.9290267,0.244674769,0.16299377,1.501129574,0.133322051,0.300692174,0
MKLGIIOE_00101_gene,563.6910997,0.146353682,0.148746623,0.983912631,0.325158473,0.53570963,0
MKLGIIOE_01022_gene,1776.475811,-0.019641144,0.167933072,-0.116958168,0.906893203,0.9556865,0
MKLGIIOE_01023_gene,678.264413,0.267766603,0.170546714,1.570048445,0.116403841,0.276236611,0
MKLGIIOE_01024_gene,186.2711111,0.078873017,0.198371237,0.397603094,0.69092278,0.823039287,0
MKLGIIOE_01025_gene,48.41497342,-0.301337811,0.3091227,-0.974816185,0.329651447,0.538180383,0
MKLGIIOE_01026_gene,160.0517122,0.284226577,0.199654149,1.423594641,0.154563848,0.33310166,0
MKLGIIOE_01027_gene,222.4572248,0.509024392,0.206566182,2.464219395,0.013731203,0.054268653,0
MKLGIIOE_01028_gene,210.3672755,0.569714291,0.195492129,2.914256929,0.003565363,0.0182994,0
MKLGIIOE_01029_gene,125.350611,0.430128964,0.219725434,1.957574757,0.050279932,0.150136989,0
