Gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,Marker
KAIKFGHD_00001_gene,4.2920873,-0.899070606,0.945928492,-0.950463606,0.341876738,0.548768461,0
KAIKFGHD_00010_gene,35.77570318,0.197962384,0.348327314,0.568322885,0.569815743,0.745962364,0
KAIKFGHD_00104_gene,15.62130365,0.879221258,0.521103897,1.687228332,0.091559456,0.224270991,0
KAIKFGHD_01019_gene,52839.79398,-1.259211166,0.145438123,-8.658054292,4.80E-18,3.17E-16,0
KAIKFGHD_01020_gene,17.17542294,-0.496718264,0.535180489,-0.928132235,0.35333898,0.561493474,0
KAIKFGHD_01021_gene,5.886865121,-0.192429016,0.823555046,-0.233656531,0.815251637,0.902939628,0
KAIKFGHD_01022_gene,13.36811679,1.552158835,1.327262405,1.169443834,0.242224858,0.440586267,0
KAIKFGHD_01023_gene,27.65047888,0.086282873,0.399422945,0.21601882,0.828973078,0.907506263,0
KAIKFGHD_01024_gene,14.29260402,1.081048592,0.558734875,1.934814955,0.053013007,0.149685838,0
KAIKFGHD_01025_gene,151.8639746,-0.885645968,0.245997835,-3.600218548,0.00031795,0.002178413,0
KAIKFGHD_01026_gene,14.76334432,-0.369070542,0.53246637,-0.693133995,0.488225466,0.685225885,0
KAIKFGHD_01027_gene,1544.538421,-1.02283554,0.139419611,-7.336382104,2.19E-13,9.05E-12,0
KAIKFGHD_01028_gene,71.71852011,0.285302285,0.267221162,1.067663513,0.285672323,0.489512023,0
KAIKFGHD_00105_gene,4.45804895,-0.988768245,0.946117237,-1.045080045,0.295985976,0.500980209,0
KAIKFGHD_01029_gene,44.53982459,0.540187996,0.349323516,1.546383144,0.122012063,0.278949753,0
KAIKFGHD_01030_gene,54.45403136,-1.169306612,0.355038397,-3.293465217,0.000989606,0.005782588,0
KAIKFGHD_01031_gene,8.404277482,-0.587562999,0.771014396,-0.762064888,0.446021278,0.647372338,0
KAIKFGHD_01032_gene,10.29807738,-1.060537466,0.630384013,-1.682367326,0.092497633,0.225795304,0
KAIKFGHD_01033_gene,9.053695717,0.45353099,0.674814663,0.672082299,0.501531305,0.695535068,0
KAIKFGHD_01034_gene,5.134443817,1.64682817,1.012454521,1.626570019,0.103828451,0.24616928,0
KAIKFGHD_01035_gene,23.97935501,1.680812338,0.499712438,3.363559141,0.000769443,0.004648089,0
KAIKFGHD_01036_gene,25.88505689,1.094326421,0.471778336,2.319577516,0.020363743,0.071065985,0
KAIKFGHD_01037_gene,45.32215722,-0.638350122,0.334512938,-1.908297258,0.056352807,0.156742666,0
KAIKFGHD_01038_gene,197.9859722,0.729200477,0.219523875,3.321736546,0.000894591,0.005277719,0
KAIKFGHD_00106_gene,0.579050943,-0.272085286,2.761651616,-0.098522668,0.921517273,NA,0
KAIKFGHD_01039_gene,4.268520023,-0.228472483,0.956777213,-0.238793817,0.811265465,0.90026328,0
KAIKFGHD_01040_gene,105.7484278,0.50782856,0.245814279,2.065903421,0.0388376,0.118896835,0
KAIKFGHD_01041_gene,343.1979509,-0.734089644,0.171509902,-4.280158958,1.87E-05,0.000178399,0
KAIKFGHD_01042_gene,171.2215396,0.081798536,0.199994691,0.40900354,0.682537063,0.825859104,0
KAIKFGHD_01043_gene,78.99476904,1.233640848,0.300736072,4.102071426,4.09E-05,0.00035768,0
KAIKFGHD_01044_gene,32.03132673,0.378076375,0.366822367,1.030679721,0.302691037,0.505796,0
KAIKFGHD_01045_gene,17.02345883,0.35898642,0.486248047,0.73827838,0.460345301,0.66300235,0
KAIKFGHD_01046_gene,55.1747359,0.433647489,0.301399733,1.43877861,0.150213259,0.321489354,0
KAIKFGHD_01047_gene,6.270563914,0.133209303,0.876215016,0.152028099,0.879164774,0.933276791,0
KAIKFGHD_01048_gene,5.787947171,1.736935972,1.007045331,1.724784296,0.084566353,0.211984271,0
KAIKFGHD_00107_gene,18.0267439,0.787688294,0.498949094,1.578694707,0.1144061,0.26466438,0
KAIKFGHD_01049_gene,58.46731434,-0.692053802,0.293033338,-2.361689651,0.018191864,0.064992853,0
KAIKFGHD_01050_gene,215.198892,0.617603012,0.211100817,2.925630613,0.003437588,0.016792502,0
KAIKFGHD_01051_gene,15.56191613,0.248698024,0.535484371,0.464435635,0.642335664,0.79564505,0
KAIKFGHD_01052_gene,90.36266253,-0.073201338,0.248467362,-0.294611485,0.768290688,0.873423125,0
KAIKFGHD_01053_gene,67.23403193,-0.172483152,0.306925418,-0.561970895,0.574135849,0.748470716,0
KAIKFGHD_01054_gene,15.71563652,0.125052266,0.579010695,0.215975745,0.829006654,0.907506263,0
KAIKFGHD_01055_gene,128.7247757,0.428675807,0.225681109,1.899475809,0.057501944,0.159293035,0
KAIKFGHD_01056_gene,44.8494224,1.043172761,0.326853014,3.191565367,0.001415041,0.007902487,0
KAIKFGHD_01057_gene,21.7500772,0.889650372,0.477622426,1.862664572,0.062509473,0.17022421,0
KAIKFGHD_01058_gene,37.52348252,0.577736583,0.343837284,1.680261594,0.09290643,0.226535349,0
KAIKFGHD_00108_gene,131.8440879,-0.000964944,0.223389946,-0.004319551,0.996553508,0.997917892,0
KAIKFGHD_01059_gene,145.7438878,-0.315870153,0.229872274,-1.374111576,0.169407046,0.350044241,0
KAIKFGHD_01060_gene,71.16794459,0.685326918,0.282868641,2.422774458,0.015402486,0.056704947,0
KAIKFGHD_01061_gene,46.55002737,-0.114740413,0.325555621,-0.352444884,0.724504646,0.848202191,0
KAIKFGHD_01062_gene,17.3849617,0.058767115,0.510651516,0.115082622,0.908379634,0.95249117,0
KAIKFGHD_01063_gene,76.7562059,0.660763441,0.275449166,2.398858019,0.01644629,0.059539456,0
KAIKFGHD_01064_gene,54.60125162,1.049959998,0.310531842,3.381166935,0.000721787,0.004384906,0
KAIKFGHD_01065_gene,7.491790813,2.354720785,0.870813945,2.704045794,0.006850085,0.029474648,0
KAIKFGHD_01066_gene,50.70594837,0.651353894,0.306884977,2.122469143,0.033798361,0.107537961,0
KAIKFGHD_01067_gene,17.49875683,0.591312801,0.514110529,1.150166682,0.250075226,0.449527513,0
KAIKFGHD_01068_gene,20.75362878,0.207252382,0.479006239,0.432671571,0.665253386,0.813129602,0
KAIKFGHD_00109_gene,29.98111797,-0.048019388,0.374997787,-0.128052458,0.898107459,0.94388211,0
KAIKFGHD_01069_gene,177.1395486,-0.912071238,0.210606271,-4.330693637,1.49E-05,0.000147916,0
KAIKFGHD_01070_gene,152.9039792,0.417630293,0.214971084,1.942727764,0.05204906,0.14829852,0
KAIKFGHD_01071_gene,35.94942504,0.48441741,0.365014017,1.327120024,0.184468983,0.370406117,0
KAIKFGHD_01072_gene,135.2858743,0.552268094,0.251205161,2.198474315,0.027915323,0.091887046,0
KAIKFGHD_01073_gene,0.365711133,-0.517847526,3.260661402,-0.158816713,0.873813281,NA,0
KAIKFGHD_01074_gene,44.11150309,-1.266588946,0.366538586,-3.455540542,0.000549191,0.003463939,0
KAIKFGHD_01075_gene,98.90483198,0.559400045,0.268267114,2.085235264,0.03704795,0.114645497,0
KAIKFGHD_01076_gene,6.433978849,0.828382513,0.815662097,1.015595203,0.30982219,0.514053143,0
KAIKFGHD_01077_gene,19.70623489,0.357771968,0.448780584,0.797209105,0.425329599,0.631661583,0
KAIKFGHD_01078_gene,94.56428014,-0.227023792,0.248736108,-0.912709432,0.361395382,0.567359002,0
KAIKFGHD_00110_gene,68.33988488,0.77399069,0.332492347,2.327845125,0.019920329,0.069802525,0
KAIKFGHD_01079_gene,84.06148165,-0.124812483,0.28117247,-0.443900084,0.657114824,0.807323254,0
KAIKFGHD_01080_gene,41.32616707,-0.313431533,0.376661187,-0.832131222,0.40533488,0.612141304,0
KAIKFGHD_01081_gene,12.67577435,-0.234224204,0.565615142,-0.414105257,0.678797023,0.823697945,0
KAIKFGHD_01082_gene,86.0380991,1.343130313,0.261897762,5.128452816,2.92E-07,4.29E-06,0
KAIKFGHD_01083_gene,25.02220747,-0.681940941,0.423893797,-1.608754236,0.107670091,0.253039464,0
KAIKFGHD_01084_gene,59.39842925,-0.636148569,0.287176058,-2.215186643,0.026747256,0.088879664,0
