Gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,Marker
HAAAELCE_01326_gene,65.73833125,0.172544007,0.282587279,0.610586603,0.541473294,0.718251228,0
HAAAELCE_01327_gene,4.565036162,-1.258094502,0.987902776,-1.27350032,0.202840559,0.390676862,0
HAAAELCE_01328_gene,4.44442801,-0.951218098,0.955245428,-0.995783984,0.319355114,0.521550363,0
HAAAELCE_01329_gene,1.063396208,0.989085205,2.212866807,0.446970058,0.654896679,NA,0
HAAAELCE_00131_gene,788.9718746,-0.188773319,0.214875973,-0.878522229,0.37966038,0.578290645,0
HAAAELCE_01330_gene,10.43340835,0.098808265,0.73508447,0.134417566,0.893072392,0.944346559,0
HAAAELCE_01331_gene,5.807405494,-0.550233645,0.859733381,-0.640004979,0.522169362,0.703562171,0
HAAAELCE_01332_gene,7.492278336,-0.58401866,0.923274194,-0.632551698,0.527026438,0.706799304,0
HAAAELCE_01333_gene,306.5078086,-0.183618874,0.205384596,-0.894024565,0.371308748,0.570925986,0
HAAAELCE_01334_gene,0.872433745,-3.392226161,2.26029387,-1.500789878,0.133409917,NA,0
HAAAELCE_01335_gene,14.32841076,-1.175861983,0.552019209,-2.130110627,0.033162481,0.105813235,0
HAAAELCE_01336_gene,12.76822392,-0.981713777,0.652659511,-1.504174474,0.132536448,0.290548529,0
HAAAELCE_01337_gene,10.93187535,-0.04613954,0.69979781,-0.065932672,0.947431429,0.973352221,0
HAAAELCE_01338_gene,6.23650558,0.95523114,0.866213313,1.102766635,0.270128521,0.468313265,0
HAAAELCE_01339_gene,0.921708778,0.828456508,2.260718822,0.36645712,0.714024004,NA,0
HAAAELCE_00013_gene,391.2585211,0.172731027,0.249763434,0.691578525,0.489202052,0.677639982,0
HAAAELCE_00132_gene,151.1153041,0.011049794,0.230501551,0.047938046,0.961765618,0.981889213,0
HAAAELCE_01340_gene,33.73143901,0.080853778,0.382413916,0.211430009,0.832551742,0.911842384,0
HAAAELCE_01341_gene,14.64982179,0.482936678,0.574608412,0.840462248,0.40064926,0.598342086,0
HAAAELCE_01342_gene,638.8366162,-0.130330862,0.228793085,-0.569645107,0.568918428,0.738056339,0
HAAAELCE_01343_gene,0.53212266,-2.67203704,2.999025116,-0.890968544,0.372946046,NA,0
HAAAELCE_01344_gene,0.580227124,-2.77574477,2.926556025,-0.94846801,0.342891251,NA,0
HAAAELCE_01345_gene,24.63093013,-0.858495748,0.425563982,-2.017312988,0.043662861,0.130988583,0
